name,nb_threads,N,M,nrepeat,runtime
2_3 reduction+simd,2,4,2,100,0.000337
2_1 sequential,2,4,2,100,4e-06
2_2 reduction,2,4,2,100,0.000237
2_3 reduction+simd,2,4,2,100,0.00022
2_1 sequential,2,4,2,100,5e-06
2_2 reduction,2,4,2,100,0.000352
2_3 reduction+simd,2,4,2,100,0.000231
2_1 sequential,2,4,2,100,6e-06
2_2 reduction,2,4,2,100,0.000569
2_3 reduction+simd,2,4,2,100,0.00024
2_1 sequential,2,4,2,100,2e-06
2_2 reduction,2,4,2,100,0.000234
2_3 reduction+simd,2,4,2,100,0.000629
2_1 sequential,2,4,2,100,7e-06
2_2 reduction,2,4,2,100,0.000265
2_3 reduction+simd,2,4,2,100,0.000322
2_1 sequential,2,4,2,100,5e-06
2_2 reduction,2,4,2,100,0.000223
2_3 reduction+simd,2,4,2,100,0.000221
2_1 sequential,2,4,2,100,7e-06
2_2 reduction,2,4,2,100,0.000348
2_3 reduction+simd,2,4,2,100,0.000237
2_1 sequential,2,4,2,100,3e-06
2_2 reduction,2,4,2,100,0.000266
2_3 reduction+simd,2,4,2,100,0.000226
2_1 sequential,2,4,2,100,6e-06
2_2 reduction,2,4,2,100,0.000219
2_3 reduction+simd,2,4,2,100,0.000342
2_1 sequential,4,4,2,100,3e-06
2_2 reduction,4,4,2,100,0.000397
2_3 reduction+simd,4,4,2,100,0.00067
2_1 sequential,4,4,2,100,3e-06
2_2 reduction,4,4,2,100,0.000339
